TransactionID,AccountID,TransactionDate,TransactionType,Amount,Channel,Country
1,971,2025-06-06,Withdrawal,4689.23,ATM,Singapore
2,1585,2025-09-26,Withdrawal,39514.43,Mobile,Afghanistan
3,104,2025-07-24,Deposit,23013.5,Mobile,USA
4,1108,2026-01-03,Deposit,11987.0,ATM,USA
5,726,2025-08-18,Withdrawal,86952.36,Branch,Singapore
6,239,2024-05-10,Transfer,58882.15,Online,UK
7,1463,2024-04-29,Deposit,86681.18,Online,USA
8,1941,2025-07-16,Transfer,61676.21,ATM,India
9,444,2024-07-08,Withdrawal,39241.12,Mobile,Canada
10,1931,2026-01-04,Withdrawal,6421.54,Mobile,North Korea
11,1240,2024-03-17,Transfer,22067.2,ATM,India
12,1267,2025-07-25,Deposit,85295.95,Mobile,Syria
13,1423,2024-08-13,Withdrawal,85735.0,Mobile,UAE
14,1493,2026-02-26,Transfer,50232.13,ATM,Afghanistan
15,1108,2026-01-28,Transfer,22255.79,Branch,UAE
16,138,2024-11-25,Deposit,61889.31,Online,UAE
17,113,2026-02-24,Withdrawal,43638.34,ATM,Afghanistan
18,131,2025-03-22,Withdrawal,7431.46,ATM,Singapore
19,537,2024-05-21,Withdrawal,23273.55,Online,UAE
20,962,2025-03-19,Withdrawal,37985.5,Online,Canada
21,1021,2026-03-23,Withdrawal,2782.8,Branch,USA
22,818,2025-09-09,Withdrawal,29362.24,ATM,Germany
23,777,2024-08-03,Withdrawal,49376.36,Branch,North Korea
24,1908,2025-03-17,Withdrawal,69644.07,ATM,India
25,990,2025-05-12,Withdrawal,27546.96,Branch,North Korea
26,1282,2025-06-26,Withdrawal,16233.34,ATM,Syria
27,497,2026-05-24,Transfer,60699.19,Branch,India
28,524,2025-07-09,Withdrawal,19098.96,Online,Syria
29,1440,2025-03-21,Deposit,32749.89,ATM,UK
30,452,2024-12-22,Deposit,46492.91,Mobile,North Korea
31,1992,2026-05-20,Withdrawal,23898.9,Branch,India
32,730,2026-04-16,Withdrawal,64818.81,ATM,Syria
33,922,2024-05-16,Transfer,2614.56,Online,Iran
34,1339,2024-11-27,Transfer,85538.59,Online,India
35,65,2025-02-21,Deposit,61222.73,ATM,India
36,1991,2026-01-08,Deposit,52876.77,Online,Singapore
37,1554,2026-01-20,Withdrawal,9613.82,Online,Singapore
38,309,2024-11-10,Withdrawal,11322.6,Mobile,Syria
39,1729,2024-12-15,Withdrawal,99065.94,ATM,UK
40,411,2024-02-02,Deposit,30301.4,ATM,Syria
41,1638,2025-06-24,Withdrawal,99817.24,Mobile,Canada
42,718,2025-05-01,Transfer,59182.57,Branch,Singapore
43,142,2024-09-09,Deposit,53256.89,Online,USA
44,893,2024-08-10,Withdrawal,11321.35,Branch,Germany
45,1853,2024-02-17,Transfer,48870.34,Online,UAE
46,778,2025-08-21,Deposit,37119.71,Online,Afghanistan
47,564,2026-05-20,Deposit,63310.81,ATM,UAE
48,650,2025-04-26,Withdrawal,60986.56,Branch,Syria
49,219,2024-02-19,Withdrawal,29049.88,Branch,Germany
50,805,2025-02-04,Deposit,23164.34,Mobile,Syria
51,1496,2025-03-30,Transfer,46085.43,Branch,India
52,250,2024-01-14,Withdrawal,60220.96,ATM,Singapore
53,696,2025-03-09,Withdrawal,41417.94,ATM,Singapore
54,1644,2025-05-12,Withdrawal,39793.61,ATM,North Korea
55,816,2024-12-01,Withdrawal,90250.04,Mobile,USA
56,1512,2026-03-27,Transfer,98772.02,ATM,Syria
57,169,2025-11-18,Withdrawal,79702.33,ATM,USA
58,377,2025-05-30,Deposit,20391.04,Online,UK
59,536,2025-03-25,Deposit,74974.69,ATM,Singapore
60,1186,2025-03-26,Withdrawal,61744.23,Online,USA
61,1655,2026-04-11,Transfer,45414.63,Branch,Afghanistan
62,272,2025-08-22,Transfer,43053.9,ATM,USA
63,595,2025-08-30,Withdrawal,73186.18,Mobile,Afghanistan
64,1014,2024-01-27,Deposit,39985.29,Mobile,Singapore
65,1393,2024-04-10,Withdrawal,91511.18,Mobile,UK
66,1836,2025-08-25,Withdrawal,51851.89,Online,Germany
67,1479,2024-04-24,Withdrawal,66490.95,Branch,Germany
68,580,2025-07-14,Transfer,2003.74,ATM,Afghanistan
69,233,2024-10-10,Deposit,53959.4,ATM,North Korea
70,878,2025-01-06,Withdrawal,45504.96,ATM,Germany
71,1740,2024-11-13,Deposit,15198.15,Branch,India
72,860,2024-05-19,Withdrawal,87033.18,ATM,Afghanistan
73,183,2025-09-16,Withdrawal,18071.87,Branch,UK
74,1637,2025-10-26,Transfer,45890.28,Online,Canada
75,309,2024-03-10,Deposit,89604.76,Online,UK
76,470,2025-09-18,Withdrawal,84864.88,Branch,India
77,83,2025-03-25,Withdrawal,66128.23,Branch,North Korea
78,127,2024-06-30,Deposit,15353.96,ATM,Syria
79,1845,2025-03-31,Deposit,44446.49,Branch,Afghanistan
80,840,2025-10-20,Transfer,39321.9,Mobile,North Korea
81,1416,2025-04-21,Withdrawal,79304.26,Online,Singapore
82,270,2026-04-05,Withdrawal,89599.98,ATM,India
83,657,2026-03-05,Transfer,88429.96,ATM,Canada
84,824,2026-04-09,Withdrawal,29095.92,ATM,Iran
85,827,2025-07-26,Deposit,1237.29,ATM,India
86,1370,2025-04-12,Withdrawal,6930.9,Online,Germany
87,1751,2025-09-14,Deposit,36826.76,Branch,Canada
88,1606,2024-04-13,Deposit,87634.03,Mobile,Singapore
89,1255,2024-06-30,Withdrawal,55255.53,Mobile,India
90,1387,2025-09-15,Deposit,82902.85,Branch,Germany
91,1752,2025-08-12,Withdrawal,54043.49,ATM,UK
92,277,2025-10-04,Transfer,48307.74,Mobile,Afghanistan
93,1485,2025-03-01,Transfer,55737.7,Online,Syria
94,1323,2025-05-28,Transfer,80710.1,Mobile,Iran
